fecha,n1,n2,n3,n4,n5,superbalota
19 de Noviembre de 2025,2,6,26,28,39,11
19 de Noviembre de 2025,12,24,32,36,41,15
17 de Noviembre de 2025,14,18,20,35,41,10
17 de Noviembre de 2025,3,18,28,32,37,11
15 de Noviembre de 2025,4,8,10,17,41,6
15 de Noviembre de 2025,7,9,16,24,39,7
12 de Noviembre de 2025,1,18,21,22,24,14
12 de Noviembre de 2025,14,20,39,40,41,10
10 de Noviembre de 2025,17,22,24,26,27,13
10 de Noviembre de 2025,10,12,17,30,34,8
8 de Noviembre de 2025,1,6,18,21,24,12
8 de Noviembre de 2025,14,23,33,38,40,6
5 de Noviembre de 2025,9,14,29,35,40,3
5 de Noviembre de 2025,14,16,26,39,43,14
3 de Noviembre de 2025,5,9,26,28,32,3
3 de Noviembre de 2025,5,12,18,27,31,3
1 de Noviembre de 2025,1,21,24,25,43,14
1 de Noviembre de 2025,5,24,27,37,41,6
29 de Octubre de 2025,2,14,22,25,29,13
29 de Octubre de 2025,7,9,13,21,42,3
27 de Octubre de 2025,3,9,32,35,36,10
27 de Octubre de 2025,5,18,22,24,31,7
25 de Octubre de 2025,17,18,21,32,37,14
25 de Octubre de 2025,1,14,36,37,39,13
22 de Octubre de 2025,3,5,14,19,26,6
22 de Octubre de 2025,1,21,23,30,42,16
20 de Octubre de 2025,9,11,15,23,29,4
20 de Octubre de 2025,6,8,12,19,36,16
18 de Octubre de 2025,27,31,33,34,41,5
18 de Octubre de 2025,6,14,26,40,41,7
15 de Octubre de 2025,2,21,25,37,43,9
15 de Octubre de 2025,4,18,37,38,40,15
13 de Octubre de 2025,11,17,18,20,34,7
13 de Octubre de 2025,9,21,27,29,41,13
11 de Octubre de 2025,10,13,14,28,38,12
11 de Octubre de 2025,1,6,15,25,38,14
8 de Octubre de 2025,3,10,30,32,38,8
8 de Octubre de 2025,5,6,25,26,32,14
6 de Octubre de 2025,2,7,14,27,29,10
6 de Octubre de 2025,5,18,23,34,40,14
4 de Octubre de 2025,2,13,25,35,42,10
4 de Octubre de 2025,20,23,30,39,43,3
1 de Octubre de 2025,2,26,32,35,39,11
1 de Octubre de 2025,11,15,20,25,41,7
29 de Septiembre de 2025,3,11,24,34,35,10
29 de Septiembre de 2025,1,13,25,30,31,6
27 de Septiembre de 2025,6,13,19,32,38,4
27 de Septiembre de 2025,14,17,19,28,33,2
24 de Septiembre de 2025,2,7,10,29,34,4
24 de Septiembre de 2025,2,3,9,21,35,12
22 de Septiembre de 2025,6,18,22,23,35,15
22 de Septiembre de 2025,5,6,12,14,35,12
20 de Septiembre de 2025,8,11,16,30,40,6
20 de Septiembre de 2025,12,24,29,39,42,8
17 de Septiembre de 2025,7,9,10,37,39,4
17 de Septiembre de 2025,5,7,11,15,23,3
